#,Target,Residues,Type,Domains,Residues in domain,Classification,PDB
1,T0644,166,All groups,T0644-D1: 26-166,141,TBM,4fr9
2,T0645,537,Server only,T0645-D1: 40-537,498,TBM,4f7a
3,T0648,102,Server only,T0648-D1: 2-102,101,TBM,4PJ1
4,T0649,210,All groups,T0649-D1: 27-210,184,TBM-hard,4f54
5,T0650,346,Server only,T0650-D1: 4-342,339,TBM,4fmz
6,T0651,254,All groups,T0651-D0: 1-254,254,other,4f67
7,T0651,254,All groups,T0651-D1: 1-95,95,TBM,4f67
8,T0651,254,All groups,T0651-D2: 111-221,111,TBM,4f67
9,T0651,254,All groups,T0651-D3: 222-254,33,,4f67
10,T0652,292,Server only,T0652-D1: 50-190,141,TBM,4hg0
11,T0652,292,Server only,T0652-D2: 201-283,83,TBM,4hg0
12,T0653,414,All groups,T0653-D1: 22-414,393,FM/TBM,4fs7
13,T0654,166,Server only,"T0654-D1: 25-39,47-165",134,TBM,4fo5
14,T0655,182,All groups,"T0655-D1: 6-90,94-141,164-180",150,TBM,2luz
15,T0657,154,Server only,"T0657-D1: 4-17,23-44,51-68,71-149",133,TBM,2lul
16,T0658,541,All groups,T0658-D1: 20-185,166,FM,4fj6
17,T0658,541,All groups,T0658-D2: 186-540,355,TBM,4fj6
18,T0659,85,Server only,T0659-D1: 1-74,74,TBM,4esn
19,T0661,215,Server only,T0661-D1: 20-204,185,TBM,4fcz
20,T0662,79,Server only,T0662-D1: 4-79,76,TBM,2lte
21,T0663,205,All groups,T0663-D0: 53-204,152,other,4exr
22,T0663,205,All groups,T0663-D1: 53-138,86,TBM,4exr
23,T0663,205,All groups,T0663-D2: 139-204,66,TBM,4exr
24,T0664,540,Server only,T0664-D1: 43-540,498,TBM,4f53
25,T0666,195,All groups,T0666-D1: 1-195,195,FM,3ux4
26,T0667,194,Server only,T0667-D1: 3-194,192,TBM,4fle
27,T0668,86,All groups,T0668-D1: 9-86,78,TBM-hard,5SYQ
28,T0669,109,Server only,"T0669-D1: 7-26,28-33,35-102,104-106",97,TBM,2ltl
29,T0671,428,All groups,T0671-D1: 38-125,88,TBM,4fd0
30,T0671,428,All groups,T0671-D2: 126-428,303,TBM-hard,4fd0
31,T0672,335,Server only,T0672-D1: 22-333,312,TBM,4f0j
32,T0673,88,All groups,T0673-D1: 25-86,62,TBM,4f98
33,T0674,340,All groups,T0674-D1: 46-206,161,TBM,4fdy
34,T0674,340,All groups,T0674-D2: 207-340,134,TBM,4fdy
35,T0675,75,Server only,T0675-D1: 17-43,27,TBM,2lv2
36,T0675,75,Server only,T0675-D2: 44-73,30,TBM,2lv2
37,T0676,204,All groups,T0676-D1: 32-204,173,TBM-hard,4e6f
38,T0677,153,Server only,"T0677-D1: 4-20,31-57",44,TBM,-
39,T0677,153,Server only,"T0677-D2: 66-100,105-141",72,TBM,-
40,T0678,161,All groups,T0678-D1: 2-161,160,TBM-hard,4epz
41,T0679,223,Server only,T0679-D1: 25-223,199,TBM,4h08
42,T0680,119,All groups,T0680-D1: 24-119,96,TBM,4fm3
43,T0681,224,Server only,T0681-D1: 28-224,197,TBM,4fxt
44,T0682,235,All groups,T0682-D1: 9-228,220,TBM,4jq6
45,T0683,403,Server only,T0683-D1: 32-402,371,TBM,4ezi
46,T0684,270,All groups,T0684-D1: 24-96,73,TBM,4gl6
47,T0684,270,All groups,T0684-D2: 97-264,168,FM,4gl6
48,T0685,253,Server only,T0685-D1: 45-116,72,TBM,4fmt
49,T0685,253,Server only,T0685-D2: 117-253,137,TBM,4fmt
50,T0686,259,All groups,"T0686-D1: 17-178,182-204",185,TBM,4hqo
51,T0686,259,All groups,T0686-D2: 210-259,50,TBM,4hqo
52,T0687,216,All groups,T0687-D1: 16-215,200,TBM,4hqf
53,T0688,196,Server only,T0688-D1: 6-190,185,TBM,4ezg
54,T0689,234,Server only,"T0689-D1: 23-130,132-234",211,TBM,4fvs
55,T0690,393,All groups,T0690-D0: 1-377,377,other,4gt6
56,T0690,393,All groups,T0690-D1: 1-220,220,TBM-hard,4gt6
57,T0690,393,All groups,T0690-D2: 221-377,157,TBM,4gt6
58,T0691,163,All groups,"T0691-D1: 32-44,52-133,141-151",106,TBM,4gzv
59,T0692,473,Server only,T0692-D1: 1-470,470,TBM,4h7n
60,T0693,319,All groups,T0693-D1: 1-100,100,FM,4P7C
61,T0693,319,All groups,T0693-D2: 101-319,219,TBM,4P7C
62,T0694,315,Server only,T0694-D1: 1-315,315,TBM,5JH8
63,T0695,536,All groups,T0695-D1: 1-535,535,FM,4UXV
64,T0696,111,Server only,T0696-D1: 12-111,100,TBM,4RT5
65,T0697,483,Server only,T0697-D1: 5-475,471,TBM,4RIZ
66,T0698,119,Server only,T0698-D1: 1-117,117,TBM,4Z39
67,T0699,234,Server only,T0699-D1: 1-231,231,TBM,4kt7
68,T0700,86,All groups,"T0700-D1: 9-23,55-74",35,TBM,4hfx
69,T0701,322,Server only,T0701-D1: 1-316,316,TBM,-
70,T0702,271,Server only,T0702-D1: 1-268,268,TBM,-
71,T0703,272,Server only,T0703-D1: 1-272,272,TBM,4hes
72,T0704,254,All groups,"T0704-D1: 17-106,109-160,162-250",231,TBM,4hg2
73,T0705,474,All groups,T0705-D1: 35-130,96,TBM,4ftd
74,T0705,474,All groups,T0705-D2: 131-474,344,TBM-hard,4ftd
75,T0706,217,Server only,"T0706-D9: 14-117,120-163,173-217",193,TBM,4RCK
76,T0707,366,All groups,T0707-D1: 46-366,321,TBM,4h41
77,T0708,196,Server only,T0708-D1: 1-196,196,TBM,4h17
78,T0709,33,All groups,T0709-D1: 10-33,24,TBM,6MM4
79,T0710,220,Server only,T0710-D1: 27-217,191,TBM,5CEA
80,T0711,33,All groups,T0711-D1: 2-33,32,TBM,2M7T
81,T0712,223,Server only,T0712-D1: 38-223,186,TBM,4gbs
82,T0713,739,All groups,T0713-D0: 33-406,374,other,4h09
83,T0713,739,All groups,T0713-D1: 33-207,175,TBM,4h09
84,T0713,739,All groups,T0713-D2: 208-406,199,TBM,4h09
85,T0714,88,Server only,T0714-D1: 1-88,88,TBM,2lvc
86,T0715,462,Server only,T0715-D1: 28-462,435,TBM,4c3s
87,T0716,71,Server only,T0716-D1: 10-60,51,TBM,2ly9
88,T0717,345,All groups,"T0717-D1: 25-37,220-345",139,TBM,4h0a
89,T0717,345,All groups,T0717-D2: 54-219,166,TBM-hard,4h0a
90,T0719,726,All groups,T0719-D1: 39-133,95,TBM,4ak1
91,T0719,726,All groups,T0719-D2: 134-249,116,TBM,4ak1
92,T0719,726,All groups,T0719-D3: 257-356,100,TBM,4ak1
93,T0719,726,All groups,T0719-D4: 357-448,92,TBM,4ak1
94,T0719,726,All groups,T0719-D5: 449-563,115,TBM,4ak1
95,T0719,726,All groups,T0719-D6: 564-726,163,FM,4ak1
96,T0720,202,All groups,T0720-D1: 1-202,202,TBM,4ic1
97,T0721,301,Server only,T0721-D1: 3-301,299,TBM,4fk1
98,T0724,265,All groups,T0724-D1: 3-128,126,TBM,4fmr
99,T0724,265,All groups,T0724-D2: 129-243,115,TBM,4fmr
100,T0726,597,All groups,T0726-D1: 1-447,447,TBM-hard,4fgm
101,T0726,597,All groups,T0726-D2: 484-564,81,TBM,4fgm
102,T0726,597,All groups,"T0726-D3: 448-483,565-587",59,FM,4fgm
103,T0731,79,Server only,T0731-D1: 8-62,55,TBM,2lz1
104,T0732,354,All groups,T0732-D1: 6-262,257,TBM,5K71
