 # ,Target ,Residues ,Type ,Domains ,Residuesin domain ,Classification ,PDB
1,T0859,133,Allgroups,T0859-D1: 4-132,129,FM,5jzr
2,T0860,137,Serveronly,T0860-D1: 1-136,136,TBM,5fjl
3,T0861,323,Serveronly,T0861-D1: 2-313,312,TBM,5j5v
4,T0862,239,Allgroups,T0862-D1: 139-239,101,FM,5j5v
5,T0863,670,Allgroups,T0863-D1: 26-218,193,FM,5sy1
6,T0863,670,Allgroups,T0863-D2: 219-574,356,FM,5sy1
7,T0864,246,Allgroups,T0864-D1: 1-246,246,FM,5d9g
8,T0865,75,Serveronly,T0865-D1: 11-72,62,TBM,2n64
9,T0866,152,Allgroups,T0866-D1: 38-141,104,FM,5uw2
10,T0867,104,Serveronly,T0867-D1: 1-104,104,TBM,-
11,T0868,161,Allgroups,T0868-D1: 46-161,116,FM/TBM,5j4a
12,T0869,120,Allgroups,T0869-D1: 3-106,104,FM,5j4a
13,T0870,138,Allgroups,T0870-D1: 2-124,123,FM,5j5v
14,T0871,375,Serveronly,"T0871-D1: 33-143,160-305,313-374",319,TBM,-
15,T0872,91,Allgroups,T0872-D1: 1-88,88,TBM,5jmb
16,T0873,501,Serveronly,"T0873-D1: 16-281,306-501",462,TBM,6da6
17,T0874,129,Allgroups,"T0874-D1: 12-64,70-103,106-129",111,FM/TBM,-
18,T0875,122,Allgroups,"T0875-D1: 1-68,75-122",116,FM/TBM,-
19,T0876,136,Allgroups,T0876-D1: 5-124,120,FM/TBM,-
20,T0877,142,Serveronly,T0877-D1: 1-142,142,TBM,5nsj
21,T0878,358,Allgroups,T0878-D1: 10-356,347,FM,5unb
22,T0879,223,Serveronly,T0879-D1: 4-223,220,TBM,5jmu
23,T0880,193,Allgroups,T0880-D1: 1-36,36,FM,-
24,T0880,193,Allgroups,T0880-D2: 37-193,157,FM,-
25,T0881,202,Serveronly,T0881-D1: 1-202,202,TBM,-
26,T0882,89,Allgroups,T0882-D1: 5-83,79,TBM,5g3q
27,T0883,237,Serveronly,T0883-D1: 15-231,217,TBM,-
,,,,,,,
28,T0884,75,Serveronly,T0884-D1: 2-72,71,FM/TBM,5t87
29,T0885,116,Serveronly,T0885-D1: 2-115,114,TBM,5t87
30,T0886,346,Allgroups,"T0886-D1: 21-44,172-216",69,FM,5fhy
31,T0886,346,Allgroups,T0886-D2: 45-171,127,FM,5fhy
32,T0887,178,Allgroups,T0887-D1: 16-176,161,FM/TBM,6f03
33,T0888,121,Allgroups,T0888-D1: 1-121,121,FM,-
34,T0889,242,Serveronly,T0889-D1: 4-242,239,TBM,5jo9
35,T0890,191,Allgroups,T0890-D1: 1-82,82,FM/TBM,-
36,T0890,191,Allgroups,T0890-D2: 83-188,106,FM,-
37,T0891,130,Serveronly,"T0891-D1: 12-64,72-130",112,TBM,4ymp
38,T0892,193,Allgroups,T0892-D1: 15-83,69,FM/TBM,5nv4
39,T0892,193,Allgroups,T0892-D2: 84-193,110,FM,5nv4
40,T0893,242,Serveronly,T0893-D1: 1-73,73,TBM,5idj
41,T0893,242,Serveronly,T0893-D2: 74-242,169,TBM,5idj
42,T0894,324,Allgroups,T0894-D1: 182-270,89,FM,5hkq
43,T0894,324,Allgroups,T0894-D2: 271-324,54,FM/TBM,5hkq
44,T0895,129,Allgroups,T0895-D1: 1-120,120,TBM,5hkq
45,T0896,486,Allgroups,T0896-D1: 39-124,86,FM/TBM,-
46,T0896,486,Allgroups,T0896-D2: 125-325,201,FM/TBM,-
47,T0896,486,Allgroups,T0896-D3: 326-486,161,FM,-
48,T0897,285,Allgroups,T0897-D1: 24-161,138,FM,-
49,T0897,285,Allgroups,T0897-D2: 162-285,124,FM,-
50,T0898,169,Allgroups,T0898-D1: 4-109,106,FM,-
51,T0898,169,Allgroups,T0898-D2: 110-164,55,FM/TBM,-
52,T0899,423,Allgroups,"T0899-D1: 67-122,130-168,179-342",259,FM,-
53,T0899,423,Allgroups,"T0899-D2: 56-66,343-419",88,FM,-
54,T0900,106,Allgroups,T0900-D1: 5-106,102,FM,5aot
55,T0901,328,Allgroups,T0901-D1: 42-264,223,FM/TBM,-
56,T0901,328,Allgroups,"T0901-D2: 34-41,265-326",70,FM,-
57,T0902,315,Serveronly,"T0902-D1: 26-49,72-188,214-303",231,TBM,3jb5
58,T0903,382,Serveronly,"T0903-D1: 15-155,168-350",324,TBM,5a7d
,,,,,,,
59,T0904,341,Allgroups,T0904-D1: 61-311,251,FM,5a7d
60,T0905,353,Allgroups,T0905-D1: 48-289,242,FM,-
61,T0905,353,Allgroups,"T0905-D2: 42-47,290-349",66,FM,-
62,T0906,363,Serveronly,"T0906-D1: 2-34,39-224,234-264,268-284,288-353",333,TBM,-
63,T0907,315,Allgroups,T0907-D1: 24-115,92,FM/TBM,-
64,T0907,315,Allgroups,T0907-D2: 116-198,83,FM/TBM,-
65,T0907,315,Allgroups,T0907-D3: 199-315,117,FM,-
66,T0909,340,Allgroups,"T0909-D1: 1-125,133-340",333,FM/TBM,5g5n
67,T0910,345,Serveronly,T0910-D1: 29-345,317,TBM,-
68,T0911,445,Allgroups,T0911-D1: 27-443,417,TBM,6e9n
69,T0912,624,Allgroups,"T0912-D1: 24-113,299-622",414,TBM,5mqp
70,T0912,624,Allgroups,"T0912-D2: 114-154,258-299",83,FM/TBM,5mqp
71,T0912,624,Allgroups,T0912-D3: 155-257,103,FM,5mqp
72,T0913,386,Allgroups,T0913-D1: 49-386,338,TBM,-
73,T0914,337,Allgroups,"T0914-D1: 3-78,93-174",158,FM,6cp8
74,T0914,337,Allgroups,T0914-D2: 175-336,162,FM,6cp8
75,T0915,161,Allgroups,T0915-D1: 6-159,154,FM,6cp8
76,T0917,409,Serveronly,T0917-D1: 19-409,391,TBM,-
77,T0918,546,Allgroups,T0918-D1: 42-149,108,FM,5uvn
78,T0918,546,Allgroups,T0918-D2: 150-272,123,FM,5uvn
79,T0918,546,Allgroups,T0918-D3: 273-411,139,FM,5uvn
80,T0920,568,Serveronly,T0920-D1: 1-321,321,TBM,5ere
81,T0920,568,Serveronly,T0920-D2: 322-562,241,TBM,5ere
82,T0921,149,Serveronly,T0921-D1: 5-142,138,TBM,5aoz
83,T0922,96,Serveronly,T0922-D1: 23-96,74,TBM,5m2o
84,T0923,409,Allgroups,"T0923-D1: 44-91,95-136,158-263,320-409",286,FM,-
85,T0928,417,Serveronly,"T0928-D1: 6-98,137-386",343,TBM,5tf2
86,T0941,470,Allgroups,"T0941-D1: 124-242,247-468",341,FM,-
87,T0942,487,Allgroups,T0942-D1: 47-269,223,TBM,5xi8
88,T0942,487,Allgroups,T0942-D2: 270-483,214,TBM,5xi8
,,,,,,,
89,T0943,563,Serveronly,T0943-D1: 65-137,73,FM/TBM,5kkp
90,T0943,563,Serveronly,"T0943-D2: 10-60,152-551",451,TBM,5kkp
91,T0944,277,Allgroups,"T0944-D1: 2-147,165-271",253,TBM,5ko9
92,T0945,409,Allgroups,T0945-D1: 9-404,396,FM/TBM,5lev
93,T0946,292,Allgroups,T0946-D1: 50-129,80,FM,-
94,T0946,292,Allgroups,"T0946-D2: 1-49,130-292",212,TBM,-
95,T0947,220,Allgroups,T0947-D1: 42-216,175,TBM,-
96,T0948,166,Allgroups,"T0948-D1: 1-125,138-161",149,TBM,5tj4
,,,,,,,
