 # ,Target ,Residues ,Type ,Domains ,Residuesin domain ,Classification ,PDB
1,T1024,408,Allgroups,T1024-D1: 2-194,193,TBM-easy,6t1z
2,T1024,408,Allgroups,T1024-D2: 203-406,204,TBM-easy,6t1z
3,T1025,268,Serveronly,T1025-D1: 12-268,257,TBM-easy,6uv6
4,T1026,172,Allgroups,T1026-D1: 27-172,146,TBM-hard,6s44
5,T1027,168,Allgroups,"T1027-D1: 8-18,34-81,95-134",99,FM,7d2o
6,T1028,316,Serveronly,T1028-D1: 16-307,292,TBM-easy,-
7,T1029,125,Allgroups,T1029-D1: 1-125,125,FM,6uf2
8,T1030,273,Allgroups,T1030-D0: 1-273,273,MultiDom,6poo
9,T1030,273,Allgroups,T1030-D1: 1-154,154,TBM-hard,6poo
10,T1030,273,Allgroups,T1030-D2: 155-273,119,TBM-hard,6poo
11,T1031,95,Allgroups,T1031-D1: 1-95,95,FM,6vr4
12,T1032,284,Allgroups,T1032-D1: 100-269,170,TBM-hard,6n64
13,T1033,100,Allgroups,T1033-D1: 1-100,100,FM,6vr4
14,T1034,156,Allgroups,T1034-D1: 1-156,156,TBM-easy,6tmm
15,T1035,102,Allgroups,T1035-D1: 1-102,102,FM/TBM,6vr4
16,T1036s1,818,Serveronly,T1036s1-D1: 1-621,621,TBM-easy,6vn1
17,T1037,404,Allgroups,T1037-D1: 1-404,404,FM,6vr4
18,T1038,199,Allgroups,T1038-D0: 9-198,190,MultiDom,6ya2
19,T1038,199,Allgroups,T1038-D1: 9-122,114,FM,6ya2
20,T1038,199,Allgroups,T1038-D2: 123-198,76,FM/TBM,6ya2
21,T1039,161,Allgroups,T1039-D1: 1-161,161,FM,6vr4
22,T1040,130,Allgroups,T1040-D1: 1-130,130,FM,6vr4
23,T1041,242,Allgroups,T1041-D1: 1-242,242,FM,6vr4
24,T1042,289,Allgroups,T1042-D1: 1-276,276,FM,6vr4
25,T1043,148,Allgroups,T1043-D1: 1-148,148,FM,6vr4
