Target,# res,Domain definition,Classification,PDB
T0388,164,D1: 11-174,TBM-HA,3cyn
T0389,134,D1: 1-134,TBM,2vsw
T0390,126,"D1: 29-123,130-160",TBM-HA,3czu
T0391,128,"D1: 14-99,108-134,140-154",TBM,3d89
T0392,82,D1: 23-104,TBM-HA,2vsv
T0393,159,D1: 4-162,TBM,3d1l
T0393,99,D2: 164-262,TBM,
T0394,260,"D1: 6-248,253-269",TBM,3dcy
T0395,235,D1: 1-235,TBM,3g5a
T0396,102,D1: 3-104,TBM-HA,3gwl
T0397,68,D2: 83-150,TBM,3d4r
T0397,82,D1: 1-82,FM,
T0398,147,D2: 125-271,TBM-HA,3d4o
T0398,143,"D1: 1-124,272-290",TBM-HA,
T0399,162,D1: 45-206,TBM,3d4e
T0400,155,"D1: 2-146,152-161",TBM-HA,3d8p
T0401,127,D1: 6-132,TBM,3d5p
T0402,114,"D1: 4-100,111-127",TBM-HA,3db0
T0404,97,D1: 2-98,TBM-HA,3dfe
T0405,208,D2: 75-282,FM,
T0405,72,D1: 2-73,FM,
T0406,147,D1: 4-150,TBM,3di5
T0407,97,D2: 267-363,TBM,3.00E+38
T0407,231,D1: 36-266,TBM,
T0408,98,D1: 7-104,TBM,3d7i
T0409,62,"D1: 32-70,80-102",TBM,3d0f
T0411,118,D1: 22-139,TBM,3d1p
T0412,165,D1: 6-170,TBM,3d3o
T0413,284,"D1: 10-31,38-299",TBM,3d0k
T0414,127,D1: 14-140,TBM,3d0j
T0415,107,D1: 3-109,TBM,3d6w
T0416,232,"D1: 6-115,194-315",TBM-HA,3d3q
T0416,57,D2: 124-180,FM,
T0417,153,"D1: 26-168,175-184",TBM,3d3s
T0418,69,D2: 17-85,TBM-HA,3d6j
T0418,141,"D1: 2-16,86-211",TBM-HA,
T0419,241,D2: 256-496,TBM,3czp
T0419,237,D1: 1-237,TBM,
T0420,168,"D1: 1-11,19-175",TBM,3d5n
T0421,221,D1: 55-275,TBM,3czq
T0422,210,"D1: 57-250,342-357",TBM,3d8b
T0422,90,D2: 251-340,TBM-HA,
T0423,147,"D1: 1-18,28-156",TBM-HA,3d01
T0424,84,D2: 94-177,TBM,3d37
T0424,59,"D3: 209-221,232-277",TBM,
T0424,182,"D1: 6-93,179-208,278-341",TBM,
T0425,179,D1: 1-179,TBM,3czx
T0426,257,D1: 27-283,TBM-HA,3da2
T0427,184,D2: 239-422,TBM,3d3y
T0427,218,D1: 1-218,TBM,
T0428,229,D1: 20-248,TBM-HA,3d8h
T0429,55,"D1: 27-55,75-100",TBM,3db3
T0429,75,D2: 101-175,TBM,
T0430,189,D2: 169-357,TBM,2vuw
T0430,138,D1: 29-166,TBM,
T0431,101,"D1: 7-78,344-372",TBM,3dax
T0431,367,"D2: 79-305,320-343,373-488",TBM,
T0432,130,D1: 1-130,TBM-HA,3dai
T0433,199,D1: 1-199,TBM,3d7l
T0434,162,"D1: 28-73,80-195",TBM,3dal
T0435,120,"D1: 15-58,73-148",TBM-HA,3db5
T0436,405,D1: 15-419,TBM,3d6k
T0437,68,"D1: 26-55,61-98",TBM-HA,2k3i
T0438,184,D1: 2-185,TBM-HA,3d3u
T0438,245,D2: 186-430,TBM-HA,
T0440,275,D1: 1-275,TBM,3dcp
T0441,146,"D2: 169-301,330-342",TBM-HA,3d8u
T0441,126,"D1: 71-168,302-329",TBM,
T0442,157,"D1: 11-124,158-166,233-266",TBM-HA,3db9
T0442,88,"D2: 131-157,167-213,219-232",TBM-HA,
T0443,66,D1: 31-96,FM/TBM,3dee
T0443,60,"D2: 97-118,136-173",FM,
T0443,66,"D3: 126-135,174-229",TBM,
T0444,284,D1: 34-317,TBM-HA,2vux
T0445,155,"D1: 1-81,191-264",TBM-HA,3dao
T0445,107,D2: 83-189,TBM,
T0446,57,"D1: 9-57,63-70",TBM,3dcx
T0446,50,"D2: 71-82,87-124",TBM,
T0447,542,D1: 1-542,TBM-HA,3do6
T0448,207,D1: 18-224,TBM,3dc7
T0449,296,D1: 1-296,TBM,3dcd
T0450,544,D1: 1-544,TBM-HA,3da1
T0451,127,D1: 7-133,TBM,3dmc
T0452,163,D2: 143-305,TBM-HA,3do5
T0452,156,"D1: 1-89,95-142,306-324",TBM-HA,
T0453,86,D1: 5-90,TBM-HA,3ded
T0454,52,D1: 5-56,TBM-HA,3dew
T0454,140,D2: 57-196,TBM,
T0455,139,D1: 7-145,TBM-HA,3ddv
T0456,179,D2: 106-284,TBM-HA,3dfa
T0456,87,D1: 18-104,TBM,
T0457,118,D2: 195-312,TBM,3dev
T0457,194,D1: 1-194,TBM,
T0458,77,D1: 12-88,TBM-HA,3dex
T0459,91,D1: 19-109,TBM-HA,3df8
T0460,80,"D1: 1-49,72-102",FM/TBM,2k4n
T0461,154,D1: 24-177,TBM-HA,3dh1
T0462,70,"D1: 1-20,23-44,47-74",TBM,2k5i
T0462,63,"D2: 77-116,121-143",TBM,
T0463,217,D1: 3-219,TBM,3dhn
T0464,69,D1: 18-86,TBM,2k5r
T0465,106,"D1: 25-35,41-135",FM,3dfd
