#,Target,Residues,Type,Domains,Residues in domain,Classification,Release,PDB
1,T0515,365,Human/Server,"T0515-D1: 1-123,140-252,254-365",348,TBM,6/29/2010,3mt1
2,T0516,229,Server only,T0516-D1: 1-227,227,TBM,7/27/2010,3no6
3,T0517,159,Human/Server,T0517-D1: 1-159,159,TBM,6/16/2010,3pnx
4,T0518,288,Server only,T0518-D1: 33-288,256,TBM,8/18/2010,3nmb
5,T0519,180,Server only,-,Canceled,-,-,-
6,T0520,189,Human/Server,T0520-D1: 2-174,173,TBM,6/23/2010,3mr7
7,T0521,179,Server only,"T0521-D1: 1-34,107-179",107,TBM,6/1/2010,3mse
8,T0521,179,Server only,T0521-D2: 35-104,70,TBM,6/1/2010,3mse
9,T0522,134,Server only,T0522-D1: 4-134,131,TBM,6/10/2010,3nrd
10,T0523,120,Human/Server,T0523-D1: 4-114,111,TBM,6/8/2010,3mqo
11,T0524,325,Server only,"T0524-D1: 2-117,119-323",321,TBM,7/7/2010,3mwx
12,T0525,215,Server only,T0525-D1: 9-213,205,TBM,6/23/2010,3mqz
13,T0526,290,Human/Server,T0526-D1: 1-290,290,TBM,9/9/2010,3nre
14,T0527,142,Server only,T0527-D1: 20-121,102,TBM,6/23/2010,3mr0
15,T0528,388,Server only,"T0528-D1: 18-138,269-351",204,TBM,7/14/2010,3n0x
16,T0528,388,Server only,"T0528-D2: 139-268,352-381",160,TBM,7/14/2010,3n0x
17,T0529,569,Human/Server,T0529-D1: 7-339,333,FM,10/1/2010,3mwt
18,T0529,569,Human/Server,T0529-D2: 364-561,198,TBM,10/1/2010,3mwt
19,T0530,115,Server only,T0530-D1: 36-115,80,TBM,6/9/2010,3npp
20,T0531,65,Human/Server,T0531-D1: 6-63,58,FM,5/20/2010,2kjx
21,T0532,506,Server only,"T0532-D1: 35-242,245-506",470,TBM,7/7/2010,3mx3
22,T0533,313,Server only,"T0533-D1: 7-89,181-296",199,TBM,6/29/2010,3mwb
23,T0533,313,Server only,T0533-D2: 90-180,91,TBM,6/29/2010,3mwb
24,T0534,384,Human/Server,"T0534-D1: 31-80,257-384",178,FM,7/27/2010,3n8u
25,T0534,384,Human/Server,T0534-D2: 81-256,176,FM,7/27/2010,3n8u
26,T0535,294,Server only,-,Canceled,-,-,3mpx
27,T0536,152,Server only,"T0536-D1: 33-58,61-95,116-147",93,TBM,5/28/2010,3mxq
28,T0537,381,Human/Server,T0537-D1: 65-350,286,FM,7/21/2010,3n6z
29,T0537,381,Human/Server,T0537-D2: 351-381,31,FM,7/21/2010,3n6z
30,T0538,54,Server only,T0538-D1: 2-54,53,TBM,7/9/2010,2l09
31,T0539,81,Server only,T0539-D1: 14-81,68,TBM,7/13/2010,2l0b
32,T0540,90,Human/Server,T0540-D1: 1-90,90,TBM,8/31/2010,3mx7
33,T0541,106,Server only,"T0541-D1: 1-17,19-71,75-106",102,TBM,8/18/2010,2l0d
34,T0542,590,Server only,T0542-D1: 2-302,301,TBM,7/7/2010,3n05
35,T0542,590,Server only,"T0542-D2: 303-490,509-585",265,TBM,7/7/2010,3n05
36,T0543,887,Human/Server,T0543-D1: 56-95,40,TBM,9/10/2010,2xrg
37,T0543,887,Human/Server,T0543-D2: 96-140,45,TBM,9/10/2010,2xrg
38,T0543,887,Human/Server,"T0543-D3: 141-457,468-540",390,TBM,9/10/2010,2xrg
39,T0543,887,Human/Server,T0543-D4: 541-884,344,TBM,9/10/2010,2xrg
40,T0544,135,Human/Server,T0544-D1: 1-135,135,FM,9/24/2010,2l3w
41,T0545,158,Server only,"T0545-D1: 3-33,40-80,90-138,149-158",131,TBM,9/11/2010,2l3f
42,T0546,134,Server only,-,Canceled,-,-,-
43,T0547,611,Human/Server,"T0547-D1: 1-51,330-342,435-553",183,TBM,8/12/2010,3nzp
44,T0547,611,Human/Server,"T0547-D2: 52-189,203-329",265,TBM,8/12/2010,3nzp
45,T0547,611,Human/Server,T0547-D3: 343-421,79,FM,8/12/2010,3nzp
46,T0547,611,Human/Server,T0547-D4: 554-609,56,FM,8/12/2010,3nzp
47,T0548,106,Server only,T0548-D1: 12-46,35,TBM,7/14/2010,3nnq
48,T0548,106,Server only,T0548-D2: 47-106,60,TBM,7/14/2010,3nnq
49,T0549,84,Server only,-,Canceled,-,7/9/2010,2kzv
50,T0550,339,Human/Server,T0550-D1: 31-177,147,FM/TBM,8/4/2010,3nqk
51,T0550,339,Human/Server,T0550-D2: 178-339,162,FM,8/4/2010,3nqk
52,T0551,74,Server only,T0551-D1: 9-71,63,TBM,9/8/2010,3obh
53,T0552,122,Server only,"T0552-D1: 14-20,25-37,47-53,58-69,72-88,93-101,105-112",73,TBM,9/11/2010,2l3b
54,T0553,141,Human/Server,T0553-D1: 3-65,63,FM,7/14/2010,2ky4
55,T0553,141,Human/Server,T0553-D2: 66-136,71,FM,7/14/2010,2ky4
56,T0554,135,Server only,-,Canceled,-,-,-
57,T0555,148,Server only,T0555-D1: 12-145,134,FM,7/9/2010,2l06
58,T0556,73,Human/Server,-,Canceled,-,-,-
59,T0557,145,Server only,"T0557-D1: 1-13,19-125",120,TBM,6/11/2010,2kyy
60,T0558,294,Human/Server,T0558-D1: 23-294,272,TBM,7/27/2010,3no2
61,T0559,69,Server only,T0559-D1: 3-69,67,TBM,7/9/2010,2l01
62,T0560,74,Server only,T0560-D1: 3-66,64,TBM,7/9/2010,2l02
63,T0561,161,Human/Server,"T0561-D1: 1-109,112-161",159,FM,6/30/2010,2xse
64,T0562,123,Human/Server,T0562-D1: 1-123,123,TBM,7/9/2010,2kzx
65,T0563,279,Server only,"T0563-D1: 1-60,66-70,86-156,169-260",228,TBM,9/9/2010,3on7
66,T0564,89,Human/Server,T0564-D1: 4-83,80,TBM,7/9/2010,2l0c
67,T0565,326,Server only,T0565-D1: 22-326,305,TBM,7/27/2010,3npf
68,T0566,156,Human/Server,T0566-D1: 10-152,143,TBM,6/21/2010,3n72
69,T0567,145,Server only,T0567-D1: 10-144,135,TBM,6/21/2010,3n70
70,T0568,158,Human/Server,"T0568-D1: 23-40,57-158",120,TBM,6/21/2010,3n6y
71,T0569,79,Human/Server,T0569-D1: 2-79,78,TBM,6/11/2010,2kyw
